,PCF,PS,lat,lon,PS_norm,PCF_norm
44,45.273050841837446,1.269274418058963,44.274930815920015,-76.6453063242276,9.62,9.43
45,45.273050841823874,1.312265478241547,44.27689629225423,-76.64976013918508,9.94,9.43
46,45.71397081708228,0.9583844347548715,44.24457457807078,-76.61498464300674,7.26,9.53
47,47.24702816401901,0.8460741284473006,44.259097431537015,-76.60024346337211,6.41,9.84
48,45.713970817091564,0.9452884173146051,44.24495093310792,-76.61349604872855,7.16,9.53
49,45.71397081709114,0.9536116064633912,44.24599150878954,-76.61437785363768,7.23,9.53
50,45.71397081698559,1.1204716905272563,44.24739662727705,-76.63303403105294,8.49,9.53
51,47.24702816402004,0.8409051131747485,44.25504677310897,-76.60052635663439,6.37,9.84
52,45.27305084180896,1.3166338420244803,44.27869859378278,-76.64976013918508,9.98,9.43
53,47.99299689190711,0.35301060212079993,44.23111894444253,-76.53180502685942,2.67,10.00
54,45.71397081698475,1.1217151591725987,44.246129159061894,-76.63324321378276,8.50,9.53
55,47.247028164018104,0.851523805381691,44.25211807314098,-76.60223281003037,6.45,9.84
56,47.422545457141645,0.762842309024835,44.23845472520263,-76.59295476441535,5.78,9.88
57,47.24702816401771,0.8520900253078794,44.2525495972302,-76.60223281003037,6.46,9.84
58,45.71397081708499,0.9560336872034573,44.24461131797675,-76.61471892593212,7.24,9.53
59,47.24702816402297,0.8379730091070101,44.25814059133867,-76.5995304968267,6.35,9.84
60,47.24702816402483,0.8361694311202698,44.257226310202945,-76.5995304968267,6.34,9.84
61,47.61313726199766,0.7310441947439544,44.25317827787639,-76.58821773135305,5.54,9.92
62,45.713970817089866,0.9546746986262364,44.246509937088994,-76.61446619008835,7.23,9.53
63,45.7139708170093,1.0979548170822113,44.247160525339964,-76.63052218630837,8.32,9.53
64,47.24702816402354,0.8375378690431123,44.25504677310897,-76.60013948745197,6.35,9.84
65,45.71397081696686,1.1880617236156588,44.246010812263876,-76.64068259957655,9.00,9.53
66,45.27305084184836,1.2379003865779221,44.27875852021929,-76.64053122640091,9.38,9.43
67,47.613137262000365,0.7040134160965293,44.255897915886834,-76.58435199350656,5.33,9.92
68,45.71397081708228,0.9583844347548715,44.24457457807078,-76.61498464300674,7.26,9.53
69,45.273050841823874,1.312265478241547,44.27689629225423,-76.64976013918508,9.94,9.43
70,45.27305084186645,1.2086422161395742,44.276427975556516,-76.63781314738779,9.16,9.43
71,45.71397081695542,1.1883675224930264,44.24918337735042,-76.64053122640091,9.00,9.53
72,47.61313726199741,0.7327541063774742,44.25133598107966,-76.58877392332393,5.55,9.92
73,47.24702816401267,0.8948036050817673,44.251580094303186,-76.6072245558076,6.78,9.84
74,45.2730508418398,1.2643777204770257,44.27492565898517,-76.64473950101076,9.58,9.43
75,45.713970817038685,1.0177565520458312,44.247160525339964,-76.62151707077136,7.71,9.53
76,45.27305084184836,1.2379003865779221,44.27875852021929,-76.64053122640091,9.38,9.43
77,47.61313726199937,0.7117251141085501,44.25606438271461,-76.58522795350187,5.39,9.92
78,45.71397081698774,1.1134927072712182,44.24716855889338,-76.63226484018139,8.44,9.53
79,47.613137262000365,0.7040134160965293,44.255897915886834,-76.58435199350656,5.33,9.92
80,45.713970817029875,1.0331965437636057,44.24496217543648,-76.62336914805057,7.83,9.53
81,45.71397081708228,0.9583844347548715,44.24457457807078,-76.61498464300674,7.26,9.53
82,45.713970817091564,0.9452884173146051,44.24495093310792,-76.61349604872855,7.16,9.53
83,45.71397081698475,1.1217151591725987,44.246129159061894,-76.63324321378276,8.50,9.53
84,47.61313726199741,0.7327541063774742,44.25133598107966,-76.58877392332393,5.55,9.92
85,45.71397081697494,1.1484336782103222,44.24256298952386,-76.6363552226646,8.70,9.53
86,47.24702816401267,0.8948036050817673,44.251580094303186,-76.6072245558076,6.78,9.84
87,47.61313726199937,0.7117251141085501,44.25606438271461,-76.58522795350187,5.39,9.92
88,45.713970817038685,1.0177565520458312,44.247160525339964,-76.62151707077136,7.71,9.53
89,45.27305084184197,1.2413238817813717,44.274278392023376,-76.64223898068994,9.41,9.43
90,47.24702816402483,0.8361694311202698,44.257226310202945,-76.5995304968267,6.34,9.84
91,47.61313726199766,0.7310441947439544,44.25317827787639,-76.58821773135305,5.54,9.92
92,45.713970817029875,1.0331965437636057,44.24496217543648,-76.62336914805057,7.83,9.53
93,45.71397081708228,0.9583844347548715,44.24457457807078,-76.61498464300674,7.26,9.53
94,47.24702816402297,0.8379730091070101,44.25814059133867,-76.5995304968267,6.35,9.84
95,47.24702816402483,0.8361694311202698,44.257226310202945,-76.5995304968267,6.34,9.84
96,47.422545457134724,0.7943767964298021,44.23321589838654,-76.59612996532105,6.02,9.88
97,45.71397081697494,1.1484336782103222,44.24256298952386,-76.6363552226646,8.70,9.53
98,47.24702816402004,0.8409051131747485,44.25504677310897,-76.60052635663439,6.37,9.84
99,47.99299689190688,0.3459271678644577,44.23111894444253,-76.53011241398931,2.62,10.00
